	cum_positive	cum_deceased	cum_recovered	curr_positive	hospitalized	intensive_care	iso3	country_name	EUCountry	EUCPMCountry	date	air_passengers.tsv	available_hospital_beds_nuts2.tsv	causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv	compensation_of_employees_by_nuts2.tsv	deaths.tsv	early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv	employment_thousand_hours_worked_nuts2.tsv	farm_labour_force.tsv	health_personnel_by_nuts2.tsv	hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv	life_expectancy.tsv	longterm_care_beds_per_hundred_thousand_nuts2.tsv	nama_10r_2gdp.tsv	participation_in_education_and_training.tsv	population_nuts2.tsv	pop_density.tsv	pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv	real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv	stock_of_vehicles_by_category_and_nuts2.tsv	students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv	unemployment_rate_nuts2.tsv	utilised_agricultural_area.tsv	young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv	cum_positive_density	cum_deceased_density	cum_recovered_density
RO22	70337.0	0.0	0.0	70337.0			ROU	Romania	True	True	2020-12-30	23.0	622.8	1461.73	7446.18	35414.0	20.6	1729159.5	428460.0	5247.0	48509.0	74.4	238.28	22802.19	0.6	2377101.0	70.9	117487.0	113.6	920227.0	38722.0	7.4	2092500.0	19.9	0.029589403226871723	0.0	0.0
RO41	44058.0	0.0	0.0	44058.0			ROU	Romania	True	True	2020-12-30	514.0	674.44	1392.85	5596.05	27196.0	11.4	1536493.8	555170.0	5977.0	55392.0	76.2	170.79	17099.28	0.8	1910409.0	66.9	83148.0	111.6	738024.0	28627.0	5.0	1574200.0	13.5	0.023062077282927373	0.0	0.0
MT00	12774.0	219.0	11121.0	1434.0			MLT	Malta	True	True	2020-12-31	7318.0	430.84	762.02	5767.22	3688.0	16.7	504063.59	9200.0	1925.0		82.9	1073.23	13442.0	11.0	514564.0	1595.1	26788.0	125.0	363815.0	16068.0	4.3	10880.0	9.2	0.024824900303946643	0.0004256030348022792	0.021612471917973275
SK03	46279.0	0.0	0.0	46279.0			SVK	Slovakia	True	True	2020-12-31		583.78	1015.35	7776.08	13759.0	7.4	959293.0	8020.0	4427.0		77.2		18834.04	3.2	1336785.0	82.7	54700.0	112.2	620756.0	23727.0	6.7	465740.0	10.2	0.034619628436884015	0.0	0.0
SE23	84171.0	0.0	0.0	84171.0			SWE	Sweden	True	True	2020-12-29	6671.0	195.76	892.18	44306.76	17814.0	7.5	1667250.0	15530.0	8636.0		83.1	1304.41	91350.51	28.5	2059729.0	70.1	176822.0	107.5	1095727.0	81815.0	7.6	652920.0	6.7	0.040865084678615486	0.0	0.0
SE32	14584.0	0.0	0.0	14584.0			SWE	Sweden	True	True	2020-12-29	706.0	227.69	1126.27	7140.95	4169.0	11.8	295470.0	3470.0	1423.0		82.1	1654.3	14834.18	26.1	376157.0	5.3	31250.0	103.5	240742.0	11290.0	7.6	104450.0	6.9	0.038771045068947275	0.0	0.0
SE33	15924.0	0.0	0.0	15924.0			SWE	Sweden	True	True	2020-12-29	2675.0	240.2	1066.31	10649.23	5462.0	5.8	422920.0	3470.0	2326.0		82.2	1701.68	23271.8	26.2	521829.0	3.4	38954.0	105.8	322878.0	33722.0	6.2	106680.0	5.9	0.030515743663154023	0.0	0.0
UKM8	41341.0		0.0	41341.0			GBR	United Kingdom	False	True	2020-12-31	8834.0		1063.6		16505.0	6.3					77.9			13.5	1541998.0	800.0			740257.0		4.5		8.6	0.026810021802881716		0.0
FI1B	21254.0	0.0	0.0	21254.0			FIN	Finland	True	True	2020-12-31	22049.0	274.76	728.54	43118.33	12367.0	8.0	1452428.95	3310.0			82.6	899.35	94961.07	30.8	1689725.0	184.7	113557.0	111.0	1072690.0	91651.0	7.2	180520.0	7.6	0.012578378138454482	0.0	0.0
CH05	55714.0	998.0	847.0	54095.0	360.0	53.0	CHE	Switzerland	False	False	2020-12-31	107.0	498.28	799.09		9723.0	1.4		11840.0	4212.0	12135.0	83.6	1341.57		26.2	1183813.0	104.6	69800.0			26056.0	3.8	216820.0	5.0	0.04706317636315871	0.0008430385542311159	0.0007154846246831214
CH03	47797.0	775.0	39956.0	7066.0	394.0	59.0	CHE	Switzerland	False	False	2020-12-31		541.62	796.97		9541.0	5.7		4190.0	5447.0	14693.0	84.0	1102.73		29.3	1171157.0	603.0	71437.0			20087.0	4.7	83120.0	6.2	0.04081177843790371	0.0006617387762699621	0.034116689735022715
CH02	93143.0	1717.0	695.0	90731.0	477.0	69.0	CHE	Switzerland	False	False	2020-12-31	22.0	426.12	861.92		16328.0	4.6		16410.0	7537.0	17736.0	83.6	1270.55		26.1	1886584.0	193.0	114644.0			59802.0	4.3	369650.0	6.7	0.04937124453509624	0.000910110549013455	0.00036839069980451443
CH01	123567.0	2050.0	1357.0	121517.0	466.0	60.0	CHE	Switzerland	False	False	2020-12-31	17829.0	501.31	713.84		11721.0	3.7		7320.0	8269.0	18981.0	84.6	862.14		25.0	1654751.0	199.7	106197.0			70195.0	7.6	157670.0	7.0	0.07467407483059385	0.001238857084842372	0.0008200629581127312
SK01	18925.0	0.0	0.0	18925.0			SVK	Slovakia	True	True	2020-12-31	2285.0	715.17	950.52	10778.73	6062.0		812644.0	420.0	4310.0		79.3		26379.56	4.7	669592.0	328.8	30804.0	108.9	508871.0	53661.0	3.4	78640.0	7.9	0.028263479850416374	0.0	0.0
SK04	50865.0	0.0	0.0	50865.0			SVK	Slovakia	True	True	2020-12-31	556.0	630.22	874.13	7510.14	14421.0	12.0	954483.0	5620.0	5654.0		77.6		19760.78	2.7	1627704.0	103.9	77254.0	111.8	657730.0	29713.0	10.5	539840.0	15.4	0.03124953922826263	0.0	0.0
SE22	71451.0	0.0	0.0	71451.0			SWE	Sweden	True	True	2020-12-29	2568.0	201.68	912.65	29483.93	13392.0	7.3	1144240.0	9220.0	6659.0		83.1	1132.44	60233.99	29.3	1537433.0	110.1	135856.0	107.3	832701.0	63971.0	10.5	535970.0	6.8	0.04647422034000831	0.0	0.0
SE12	67440.0	0.0	0.0	67440.0			SWE	Sweden	True	True	2020-12-29	2518.0	210.41	933.22	33395.3	15278.0	7.1	1291280.0	11260.0	7646.0		83.0	1380.2	66827.36	29.3	1727398.0	44.7	148867.0	106.7	930929.0	87645.0	9.4	786510.0	6.5	0.03904137899893366	0.0	0.0
SE31	31059.0	0.0	0.0	31059.0			SWE	Sweden	True	True	2020-12-29	110.0	204.21	1088.07	15765.67	9145.0	11.5	648600.0	7390.0	3025.0		82.7	1467.29	31358.24	26.6	857762.0	13.5	69630.0	103.7	544633.0	30904.0	7.9	254480.0	7.3	0.03620934478328487	0.0	0.0
SK02	63474.0	0.0	0.0	63474.0			SVK	Slovakia	True	True	2020-12-31		471.62	1072.85	11312.31	18992.0	4.1	1396909.0	6760.0	5063.0		78.0		28890.8	2.0	1823792.0	123.0	68962.0	110.9	977096.0	33708.0	4.7	817390.0	7.7	0.03480331090387501	0.0	0.0
UKM9	12679.0	0.0	0.0	12679.0			GBR	United Kingdom	False	True	2020-12-31	639.0		1213.82		11597.0	16.9					79.2			13.7	947186.0	59.7			525311.0		3.1		13.3	0.013385966431091675	0.0	0.0
BG31	16645.0	20.0	27.0	16598.0			BGR	Bulgaria	True	True	2020-12-31		792.68	1998.32	1505.46	15107.0	20.0	490433.88	29570.0	3299.0	31503.0	73.7	52.12	3938.63	0.8	728157.0	39.0	26185.0	115.8	329824.0	4809.0	13.0	936770.0	27.0	0.022859081214628162	2.7466604042809448e-05	3.707991545779276e-05
BG42	31902.0	22.0	126.0	31757.0			BGR	Bulgaria	True	True	2020-12-31		824.74	1466.29	3361.86	21199.0	15.1	1090510.17	76820.0	5687.0	55842.0	75.6	15.82	8665.82	1.1	1406630.0	63.7	51107.0	115.6	625257.0	37662.0	3.4	698880.0	16.8	0.02267973809743856	1.5640218109950734e-05	8.957579462971784e-05
AL01	13128.0	284.0	8582.0	4262.0	55.0	7.0	ALB	Albania	False	False	2020-12-31					6288.0						78.7		3142.06		804689.0	74.8		111.6						0.016314377355723764	0.00035293138094344526	0.010664989828368476
SI03	717.0	0.0	0.0	0.0	0.0	0.0	SVN	Slovenia	True	True	2020-04-15		375.86	1034.82	10431.28	11712.0	4.1	794415.49		3030.0	16407.0	80.7		21015.96	7.6	1100012.0	89.0	66878.0	115.9	681307.0	21996.0	5.5		9.5	0.0006518110711519511	0.0	0.0
RO12	79309.0	0.0	0.0	79309.0			ROU	Romania	True	True	2020-12-30	853.0	728.07	1242.54	9125.05	29012.0	21.7	1646124.5	354570.0	7438.0	47217.0	76.0	225.84	25263.18	1.0	2314826.0	68.2	119274.0	120.5	951080.0	56284.0	7.1	1693990.0	24.3	0.03426132244928993	0.0	0.0
RO32	123478.0	0.0	0.0	123478.0			ROU	Romania	True	True	2020-12-30	14694.0	1025.84	1136.42	22693.1	25935.0	6.7	2300541.6	25120.0	14327.0	50606.0	77.2	141.14	61169.4	0.8	2322002.0	1321.9	109461.0	137.6	1580521.0	172709.0	4.7	75570.0	11.3	0.05317738744411073	0.0	0.0
RO31	103834.0	0.0	0.0	103834.0			ROU	Romania	True	True	2020-12-30		516.39	1471.51	8257.41	43444.0	17.0	2084686.8	747340.0	4658.0	63480.0	75.5	179.0	26067.46	2.2	2901376.0	86.1	134473.0	103.2	1046415.0	20650.0	5.9	2250950.0	17.7	0.03578784686989897	0.0	0.0
ITI4	163051.0	3769.0	84109.0	75173.0	3092.0	303.0	ITA	Italy	True	True	2020-12-31	49250.0	338.37	979.13	81787.6	56796.0	11.9	4565242.9	53380.0	26986.0	53054.0	83.8	176.3	200839.55	7.8	5755700.0	343.0	273929.0	104.1	4225066.0	294502.0	9.1	567590.0	17.6	0.02832861337456782	0.0006548291259099675	0.014613166078843581
ITC1	197828.0	7922.0	161649.0	28257.0	3085.0	190.0	ITA	Italy	True	True	2020-12-31	3997.0	346.77	1213.45	55097.7	53137.0	12.0	3296619.7	48350.0	15758.0	46106.0	83.3	762.26	137781.87	7.0	4311217.0	172.3	198720.0	105.0	3345362.0	131326.0	7.5	948580.0	16.6	0.04588681107909901	0.0018375321863872776	0.03749498111554116
ITC3	60469.0	2891.0	51958.0	5620.0	759.0	65.0	ITA	Italy	True	True	2020-12-31	1539.0	351.56	1416.52	18559.1	21354.0	10.7	1141935.5	7810.0	6956.0	20496.0	83.5	503.06	49740.73	8.7	1524826.0	284.3	64847.0	101.0	953358.0	34415.0	8.3	37330.0	15.4	0.03965632800070303	0.0018959540301647531	0.03407470754040133
ITI1	120328.0	3673.0	106977.0	9678.0	988.0	150.0	ITA	Italy	True	True	2020-12-31	8233.0	285.45	1152.71	44979.4	43677.0	11.7	2901702.2	46940.0	16212.0	43791.0	84.1	367.82	118727.3	8.2	3692555.0	162.7	167756.0	103.7	2943965.0	129391.0	6.6	691340.0	15.2	0.032586650706624545	0.000994704208874343	0.028970997046760306
CH07	23393.0	774.0	2182.0	20437.0	376.0	46.0	CHE	Switzerland	False	False	2020-12-31	56.0	548.5	881.41		3238.0	4.1		600.0	1691.0	5556.0	85.0	1192.92		21.3	351491.0	128.9	18932.0			7859.0	6.5	14220.0	7.5	0.0665536244171259	0.002202047847597805	0.00620784031454575
AT21	21671.0	531.0	18573.0	2370.0			AUT	Austria	True	True	2020-12-31	210.0	803.93	1081.98	10099.0	6031.0		438030.0	12680.0	2722.0	10423.0	82.2	1011.38	21505.55	10.1	561293.0	59.9	20566.0	109.3	438684.0	15527.0	4.7	220340.0	7.9	0.038609068703867676	0.0009460299700869243	0.03308966974467881
AT12	54177.0	910.0	48955.0	4312.0			AUT	Austria	True	True	2020-12-31	31635.0	671.36	1036.91	28451.0	17449.0	7.7	1179290.0	33900.0	7919.0	21335.0	81.7	558.39	61706.24	9.3	1684287.0	88.9	65453.0	108.0	1378944.0	33152.0	4.2	908850.0	7.0	0.03216613320651409	0.0005402879675494735	0.029065711485037882
AT31	72511.0	1166.0	66688.0	5237.0	461.0	74.0	AUT	Austria	True	True	2020-12-31	430.0	676.7	905.04	32123.0	13642.0	7.5	1226600.0	27240.0	6339.0	26745.0	82.3	856.87	68379.88	10.6	1490279.0	126.8	60943.0	109.9	1174450.0	39671.0	3.9	517350.0	7.5	0.04865598991866624	0.0007824038317657297	0.04474866786688935
AT32	28667.0	348.0	25642.0	2683.0	124.0	24.0	AUT	Austria	True	True	2020-12-31	1730.0	869.23	814.77	12733.0	4731.0	9.6	524750.0	8090.0	3236.0	8365.0	82.8	965.31	29851.8	10.6	558410.0	78.9	20948.0	109.6	383005.0	26837.0	3.0	178390.0	8.3	0.0513368313604699	0.0006231980086316506	0.04591966476245053
AT34	19371.0	233.0	18107.0	1041.0	49.0	16.0	AUT	Austria	True	True	2020-12-31		529.42	763.32	8374.0	3062.0		311710.0	3470.0	1712.0	4956.0	83.3	627.43	19162.79	10.5	397139.0	156.3	16689.0	107.4	254178.0	4582.0	3.6	77780.0	7.1	0.048776373007939286	0.0005866963456119897	0.045593608283245914
ITI3	41624.0	1571.0	28875.0	11178.0	532.0	62.0	ITA	Italy	True	True	2020-12-31	482.0	301.75	1112.52	16654.7	17442.0	9.8	1157674.9	34040.0	5681.0	16993.0	84.4	335.56	42391.85	6.2	1512672.0	161.9	70983.0	102.6	1183635.0	51779.0	7.4	442620.0	14.6	0.02751687080874109	0.0010385595819847263	0.019088738338516216
ITF3	189673.0	2844.0	109574.0	77255.0	1438.0	113.0	ITA	Italy	True	True	2020-12-31	10834.0	252.21	924.17	43228.2	53860.0	17.3	3223203.9	73880.0	21981.0	47314.0	82.1	49.84	109630.67	5.3	5712143.0	422.2	291518.0	101.7	3958323.0	227318.0	17.9	509000.0	28.0	0.033205226129667975	0.0004978866950634814	0.01918264301156326
NL41	125400.0	2388.0	0.0	123012.0	3840.0		NLD	Netherlands	True	True	2020-12-31	6785.0		903.55	55531.0	22886.0	8.0	2078590.0	10780.0	6727.0	19213.0	82.3		120868.9	17.5	2562955.0	514.8	165534.0	109.9	1609609.0	120128.0	3.5	246900.0	3.9	0.04892789768060696	0.000931736998893855	0.0
NL32	136972.0	1630.0	0.0	135342.0	3130.0		NLD	Netherlands	True	True	2020-12-31	71690.0		811.96	77141.0	23086.0	7.4	2520883.0	4120.0	13892.0	17403.0	82.4		177732.61	20.5	2879527.0	1041.2	186715.0	114.5	1389380.0	152371.0	3.9	128040.0	5.6	0.047567534529108425	0.0005660651905677565	0.0
NL33	203708.0	2835.0	0.0	200873.0	4889.0		NLD	Netherlands	True	True	2020-12-31	2102.0		842.33	79722.0	31224.0	7.0	2808887.0	5710.0	13658.0	26773.0	82.2		170723.53	19.9	3744299.0	1292.2	258153.0	105.2	1802818.0	204902.0	4.4	128640.0	4.3	0.05440484320296002	0.0007571510715356866	0.0
ES61	264371.0	5123.0	10671.0	259248.0	23363.0	2338.0	ESP	Spain	True	True	2020-12-31	30414.0	217.98	864.81	74880.5	70505.0	21.8	5145657.0	193790.0	31430.0	69747.0	82.6	526.26	165865.23	9.6	8478083.0	97.4	585983.0	110.6	5184724.0	344735.0	22.3	4369000.0	17.2	0.031182874713540785	0.0006042639591992671	0.00125865717521284
ES13	17948.0	393.0	2287.0	17555.0	1757.0	224.0	ESP	Spain	True	True	2020-12-31	1171.0	328.34	1048.38	6304.4	6013.0	9.1	390162.8	8360.0	3000.0	6864.0	83.9	965.66	14187.41	11.9	582388.0	110.5	34068.0	109.7	377754.0	23531.0	12.1	222950.0	10.5	0.030817942677390332	0.0006748078600520615	0.003926935307732989
ES21	110821.0	2963.0	16160.0	107858.0	9056.0	685.0	ESP	Spain	True	True	2020-12-31	6353.0	325.71	1000.89	34098.9	21566.0	6.5	1734820.2	14810.0	12300.0	30452.0	84.5	926.44	74496.02	13.1	2189138.0	303.7	139270.0	109.5	1226007.0	89224.0	9.5	187250.0	8.2	0.05062312197769168	0.0013535007843269817	0.007381901003956809
ES12	27171.0	1343.0	1063.0	25828.0	4979.0	367.0	ESP	Spain	True	True	2020-12-31	1405.0	345.79	1291.62	10891.4	12893.0	8.9	684403.0	22260.0	4065.0	16936.0	83.2	1393.08	23765.12	11.1	1018899.0	96.6	50287.0	106.8	629120.0	34999.0	14.1	336310.0	12.1	0.02666701998922366	0.0013180894279020787	0.001043282994683477
ITI2	28960.0	624.0	24559.0	3777.0	303.0	44.0	ITA	Italy	True	True	2020-12-31	218.0	302.88	1130.5	9042.3	10263.0	11.2	637434.2	24180.0	3852.0	9747.0	84.5	354.1	23267.08	8.1	870165.0	105.5	38945.0	103.4	728816.0	27113.0	8.2	300000.0	14.9	0.033281044399625356	0.0007171053765665132	0.028223382921629805
ES42	100673.0	4086.0	6392.0	96587.0	14068.0	906.0	ESP	Spain	True	True	2020-12-31		233.41	962.47	17895.8	19467.0	18.7	1266063.8	95330.0	5765.0	24620.0	83.9	2226.85	42820.22	9.1	2045554.0	25.8	134390.0	110.6	1436412.0	53090.0	17.7	4045810.0	12.4	0.04921551814325117	0.0019975028769712265	0.0031248258418012918
NL31	66950.0	869.0	0.0	66081.0	1642.0		NLD	Netherlands	True	True	2020-12-31			750.0	34954.0	9823.0	6.0	1140175.0	2620.0	7709.0	9343.0	82.7		75838.85	22.2	1319231.0	934.6	95529.0	114.8	811443.0	79649.0	3.5	64470.0	3.7	0.05074926225960427	0.0006587170859387022	0.0
ES22	42494.0	960.0	3905.0	41534.0	4546.0	377.0	ESP	Spain	True	True	2020-12-31	240.0	335.41	899.51	9521.1	5568.0	10.8	514593.8	11370.0	3530.0	7819.0	85.0	1039.45	20973.51	13.6	656509.0	63.1	43985.0	111.1	424559.0	27393.0	10.1	546890.0	9.9	0.06472721623008976	0.001462280029672099	0.005948128662364111
ITF5	10826.0	256.0	4519.0	6051.0	93.0	4.0	ITA	Italy	True	True	2020-12-31		288.35	1091.16	4839.5	6508.0	10.1	367471.8	34970.0	1876.0	6924.0	83.0	97.36	13089.85	7.1	553254.0	55.7	23135.0	105.9	439965.0	7772.0	8.6	484630.0	21.0	0.019567865754246693	0.0004627169437545865	0.008168038550105377
PT16	47721.0	996.0	0.0	46725.0			PRT	Portugal	True	True	2020-12-31	14.0	317.51	1280.33	16494.23	28066.0	6.0	1869250.86	83890.0	11093.0		82.0		39999.2	10.4	2217285.0	79.2	118130.0	109.8		78685.0	5.6	558020.0	8.8	0.02152226709692259	0.00044919800566909534	0.0
PT11	209964.0	3194.0	0.0	206770.0			PRT	Portugal	True	True	2020-12-31	13203.0	334.11	985.99	27842.78	34947.0	10.5	3148273.06	95770.0	19005.0		82.4		63279.17	8.4	3575338.0	169.3	200579.0	111.7		120925.0	6.8	646610.0	8.5	0.058725636569185904	0.0008933421119905307	0.0
NL22	88505.0	1311.0	0.0	87194.0	2262.0		NLD	Netherlands	True	True	2020-12-31			913.87	38627.0	19079.0	6.1	1530738.0	11020.0	7666.0	16210.0	82.1		81757.36	17.6	2085952.0	415.8	139956.0	108.2	1194949.0	101148.0	3.5	232440.0	4.3	0.042429068358236434	0.0006284900131930169	0.0
ES63	3072.0	130.0	163.0	3013.0	198.0	23.0	ESP	Spain	True	True	2020-12-31		211.94	629.27	998.4	537.0	25.5	51526.2	0.0	765.0	544.0	81.4	167.69	1765.16	9.0	84085.0	4222.9	7827.0	107.2	50245.0	2677.0	24.5	0.0	18.9	0.036534459178212526	0.0015460545876196706	0.0019385145983231253
ES62	60316.0	744.0	2180.0	59572.0	5193.0	703.0	ESP	Spain	True	True	2020-12-31	22.0	325.41	764.5	14917.1	11568.0	18.7	1061000.4	25340.0	6766.0	17258.0	82.9	218.0	32356.07	12.8	1504869.0	132.4	110298.0	109.9	965936.0	69642.0	16.2	375860.0	12.4	0.04008056515218268	0.0004943951932028636	0.0014486310768578527
ITC2	7273.0	379.0	6483.0	411.0	77.0	2.0	ITA	Italy	True	True	2020-12-31		359.01	1147.43	1714.0	1392.0		109158.8	2180.0	461.0	1497.0	83.6	110.32	4868.04	7.5	125034.0	38.6	5789.0	101.5	271983.0	1154.0	5.8	52490.0	14.7	0.0581681782555145	0.0030311755202584896	0.051849896828062764
NL23	19551.0	156.0	0.0	19395.0	455.0		NLD	Netherlands	True	True	2020-12-31			591.63	6227.0	2469.0	9.0	262189.0	1690.0	520.0	3111.0	82.4		14756.45	18.0	423021.0	292.5	33696.0	111.5	429317.0	16358.0	3.9	88600.0	5.5	0.04621756366705199	0.00036877601821186184	0.0
NL12	14795.0	172.0	0.0	14623.0	244.0		NLD	Netherlands	True	True	2020-12-31			988.31	9804.0	6256.0	6.4	438799.0	5380.0	1530.0	5173.0	82.0		20727.69	16.4	649957.0	191.0	45161.0	104.7	393870.0	25784.0	3.9	226440.0	4.5	0.022763044324470696	0.0002646328910989496	0.0
NL11	15044.0	90.0	0.0	14954.0	200.0		NLD	Netherlands	True	True	2020-12-31			962.35	10559.0	5500.0	6.1	408746.0	3110.0	3170.0	4232.0	81.3		24669.25	19.9	585866.0	247.9	35459.0	97.4	323115.0	51402.0	5.2	162960.0	5.6	0.02567822676175098	0.00015361874558346105	0.0
UKM7	38777.0	0.0	0.0	38777.0			GBR	United Kingdom	False	True	2020-12-31	14755.0		998.64		20044.0	11.9					79.9			15.9	1998699.0	150.8			1004106.0		3.4		9.2	0.019401120428838958	0.0	0.0
NO04	3344.0	0.0	0.0	3344.0			NOR	Norway	False	True	2020-12-30	5726.0	298.55	699.54	25323.05	5395.0	9.2		6250.0	3229.0		83.0	686.7	42630.87	16.2	787123.0	32.2	73408.0		396472.0	30979.0	4.5	129260.0	5.0	0.004248383035434106	0.0	0.0
NO02	2714.0	0.0	0.0	2714.0			NOR	Norway	False	True	2020-12-30	4.0	397.55	1043.7	9710.13	3982.0	9.3		8220.0	1688.0		82.0	983.59	17159.68	15.3	387285.0	7.7	29439.0		245024.0	18559.0	3.8	204030.0	6.4	0.0070077591437830026	0.0	0.0
NO06	2210.0	0.0	0.0	2210.0			NOR	Norway	False	True	2020-12-30	4368.0	366.92	749.15	13734.2	3568.0	11.7		6260.0	2450.0		83.1	811.35	25180.13	17.3	465136.0	11.8	38417.0		244010.0	44361.0	3.2	160560.0	5.0	0.004751298544941694	0.0	0.0
UKM5	7870.0		0.0	7870.0			GBR	United Kingdom	False	True	2020-12-31	2913.0		921.83		4614.0	11.7		4370.0			80.3			15.2	495365.0	76.2			276025.0		3.2	478770.0	12.0	0.015887275039617253		0.0
SE11	118357.0	0.0	0.0	118357.0			SWE	Sweden	True	True	2020-12-29	27993.0	204.1	683.19	67073.78	15368.0	7.4	2082210.0	1670.0	10944.0		83.9	1003.68	152808.83	30.1	2377081.0	361.8	213236.0	111.7	1088426.0	90684.0	7.6	92000.0	6.7	0.04979089900596572	0.0	0.0
UKD4	24351.0	0.0	0.0	24351.0			GBR	United Kingdom	False	True	2020-12-31	15.0		1072.43		16109.0	11.8		3030.0			79.9			13.6	1495318.0	485.5			798581.0		3.7	218720.0	13.7	0.016284830383904964	0.0	0.0
AL02	29720.0	601.0	14681.0	14438.0	147.0	10.0	ALB	Albania	False	False	2020-12-31					7454.0						81.6		6735.64		1176240.0	236.2		119.0						0.02526695232265524	0.0005109501462286608	0.01248129633408148
PT20	1832.0	22.0	0.0	1810.0			PRT	Portugal	True	True	2020-12-31	2836.0	611.15	943.07	1885.62	2271.0	27.0	207382.93	11640.0	861.0		78.8		4469.05	5.8	242796.0	105.3	16669.0	108.5	0.0	2673.0	6.1	118590.0	17.2	0.007545429084498921	9.061104795795647e-05	0.0
PT18	11123.0	218.0	0.0	10905.0			PRT	Portugal	True	True	2020-12-31	3.0	214.46	1476.48	5221.42	10442.0	12.7	594899.4	33690.0	2186.0		80.7		13408.43	10.3	704558.0	22.7	40604.0	102.9		15566.0	5.9	2146510.0	7.6	0.015787202756905747	0.0003094138452760454	0.0
